,words,count
1069,received,76
1070,passion,76
1071,common,76
1072,spectacular,76
1073,midas,76
1074,seems,76
1075,financial,76
1076,outside,76
1077,un,76
1078,replace,76
1079,funny,75
1080,corruption,75
1081,whether,75
1082,inspiration,75
1083,patriots,75
1084,ideas,75
1085,private,75
1086,citizens,75
1087,community,74
1088,statements,74
1089,king,74
1090,charge,74
1091,troops,74
1092,france,74
1093,louisiana,74
1094,careful,74
1095,director,74
1096,jim,74
1097,votetrump,73
1098,appreciate,73
1099,you’re,73
1100,victims,73
1101,enjoyed,73
1102,books,73
1103,father,73
1104,imagine,73
1105,heroes,73
1106,saved,73
1107,shot,73
1108,chief,73
1109,beyond,73
1110,whatever,73
1111,trump”,73
1112,june,73
1113,changed,73
1114,local,73
1115,tuned,72
1116,conservative,72
1117,conversation,72
1118,exactly,72
1119,career,72
1120,clue,72
1121,trouble,72
1122,address,72
1123,negotiation,72
1124,debates,72
1125,luxury,72
1126,amnesty,72
1127,field,72
1128,omarosa,71
1129,monster,71
1130,cities,71
1131,sent,71
1132,involved,71
1133,dummy,71
1134,focused,71
1135,tried,71
1136,later,71
1137,peace,71
1138,sold,71
1139,return,71
1140,racist,71
1141,union,71
1142,chairman,71
1143,kelly,71
1144,necessary,71
1145,red,71
1146,player,71
1147,dan,71
1148,terrorist,71
1149,sell,71
1150,thursday,71
1151,indiana,70
1152,held,70
1153,karlrove,70
1154,illegals,70
1155,steel,70
1156,setting,70
1157,clean,70
1158,popular,70
1159,shirts,70
1160,summit,70
1161,picture,69
1162,rosie,69
1163,turkey,69
1164,expected,69
1165,favor,69
1166,palm,69
1167,estate,69
1168,dropped,69
1169,five,69
1170,majority,69
1171,americafirst,69
1172,trust,69
1173,crowds,69
1174,stopped,68
1175,sometimes,68
1176,whose,68
1177,dannyzuker,68
1178,pushing,68
1179,seriously,68
1180,players,68
1181,missuniverse,68
1182,sending,68
1183,offers,68
1184,proven,68
1185,”,68
1186,simple,68
1187,benghazi,68
1188,courage,68
1189,wouldnt,68
1190,county,68
1191,supports,68
1192,brian,68
1193,water,68
1194,funding,67
1195,billionaire,67
1196,closely,67
1197,certain,67
1198,kevin,67
1199,hold,67
1200,happens,67
1201,europe,67
1202,opec,67
1203,draintheswamp,67
1204,bills,67
1205,broken,67
1206,gun,67
1207,va,67
1208,effort,67
1209,discuss,66
1210,pick,66
1211,anybody,66
1212,telling,66
1213,keeping,66
1214,lady,66
1215,crimes,66
1216,step,66
1217,reports,66
1218,front,66
1219,spirit,66
1220,trip,66
1221,rates,66
1222,pressure,66
1223,park,66
1224,fall,66
1225,allstar,66
1226,resort,66
1227,immigrants,66
1228,piece,66
1229,warren,66
1230,terrorists,66
1231,ok,65
1232,kentucky,65
1233,tea,65
1234,ur,65
1235,mrtrump,65
1236,raised,65
1237,cold,65
1238,melaniatrump,65
1239,guess,65
1240,fans,65
1241,ass,65
1242,courses,65
1243,wasn’t,65
1244,agreement,65
1245,trump’s,65
1246,known,65
1247,loudobbs,65
1248,finished,65
1249,dossier,64
1250,maralago,64
1251,peter,64
1252,among,64
1253,serve,64
1254,available,64
1255,black,64
1256,lucky,64
1257,colorado,64
1258,track,64
1259,dying,64
1260,definitely,64
1261,project,64
1262,wishes,64
1263,thinks,64
1264,rated,64
1265,arrived,64
1266,squawkcnbc,64
1267,manufacturing,64
1268,xi,64
1269,celebrate,64
1270,hillaryclinton,64
1271,human,63
1272,shooting,63
1273,trial,63
1274,outstanding,63
1275,saudi,63
1276,barack,63
1277,lamestream,63
1278,mccain,63
1279,kasich,63
1280,approved,63
1281,ford,63
1282,starts,63
1283,disgusting,63
1284,arod,63
1285,prez,63
1286,i’ve,63
1287,program,63
1288,genius,63
1289,ivanka,63
1290,momentum,63
1291,clear,63
1292,msnbc,63
1293,collection,63
1294,wsj,62
1295,threat,62
1296,advantage,62
1297,flag,62
1298,expensive,62
1299,became,62
1300,recovery,62
1301,opponent,62
1302,innocent,62
1303,hands,62
1304,currency,62
1305,soldiers,62
1306,matt,62
1307,realize,62
1308,lying,62
1309,puerto,62
1310,cool,62
1311,brandiglanville,62
1312,san,62
1313,defeat,62
1314,senators,62
1315,nights,62
1316,attacks,62
1317,destroyed,62
1318,est,62
1319,officials,62
1320,africa,61
1321,—,61
1322,recent,61
1323,washingtonpost,61
1324,recently,61
1325,offer,61
1326,role,61
1327,fema,61
1328,gotten,61
1329,claims,61
1330,straight,61
1331,vision,61
1332,dem,61
1333,defend,61
1334,couldnt,61
1335,sanctions,61
1336,desperately,61
1337,facebook,61
1338,reserve,61
1339,rico,61
1340,trumptowerny,61
1341,coverage,61
1342,talented,61
1343,desperate,61
1344,according,61
1345,cause,60
1346,secret,60
1347,hey,60
1348,died,60
1349,theyre,60
1350,opinion,60
1351,cbs,60
1352,single,60
1353,deliver,60
1354,hosting,60
1355,deficit,60
1356,negotiations,60
1357,hour,60
1358,rnc,60
1359,officers,60
1360,judges,60
1361,patrol,60
1362,hi,59
1363,committed,59
1364,establishment,59
1365,key,59
1366,eyes,59
1367,rights,59
1368,couldn’t,59
1369,rule,59
1370,shes,59
1371,reporter,59
1372,travel,59
1373,germany,59
1374,testing,59
1375,might,59
1376,presidents,59
1377,cutting,59
1378,alone,59
1379,seem,58
1380,responders,58
1381,al,58
1382,remain,58
1383,standard,58
1384,write,58
1385,elizabeth,58
1386,hotels,58
1387,likewise,58
1388,fortune,58
1389,signature,58
1390,scandal,58
1391,impact,58
1392,concerning,58
1393,buying,58
1394,morningjoe,58
1395,mini,58
1396,executive,58
1397,drop,58
1398,fail,58
1399,within,58
1400,board,58
1401,nasty,58
1402,becoming,58
1403,daily,58
1404,uk,58
1405,completely,57
1406,cnbc,57
1407,worry,57
1408,gold,57
1409,speaks,57
1410,boardroom,57
1411,bet,57
1412,acting,57
1413,greater,57
1414,america’s,57
1415,jon,57
1416,wwe,57
1417,product,57
1418,construction,57
1419,hundreds,57
1420,loss,57
1421,cpac,57
1422,afternoon,57
1423,shutdown,57
1424,poorly,57
1425,dirty,56
1426,anniversary,56
1427,rep,56
1428,wrote,56
1429,current,56
1430,rid,56
1431,mexican,56
1432,january,56
1433,behalf,56
1434,ones,56
1435,led,56
1436,youll,56
1437,enemies,56
1438,politico,56
1439,model,55
1440,aid,55
1441,somebody,55
1442,aberdeen,55
1443,weapons,55
1444,anywhere,55
1445,wealth,55
1446,navy,55
1447,congressional,55
1448,importantly,55
1449,returns,55
1450,transcript,55
1451,harder,55
1452,oscars,55
1453,destroying,55
1454,intl,55
1455,listening,55
1456,showed,55
1457,protection,54
1458,pleased,54
1459,wasting,54
1460,costs,54
1461,nomination,54
1462,stuff,54
1463,ireland,54
1464,journal,54
1465,fame,54
1466,expect,54
1467,handle,54
1468,deserve,54
1469,industry,54
1470,negotiate,54
1471,b,54
1472,letter,54
1473,double,54
1474,treat,54
1475,speaker,54
1476,voter,54
1477,rules,54
1478,sc,54
1479,blame,54
1480,infrastructure,54
1481,flotus,54
1482,difference,53
1483,arabia,53
1484,legislation,53
1485,theres,53
1486,representatives,53
1487,entrepreneur,53
1488,result,53
1489,andy,53
1490,mine,53
1491,guard,53
1492,inside,53
1493,guys,53
1494,icymi,53
1495,politically,53
1496,knowledge,53
1497,ronald,53
1498,packed,53
